,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
1863,LIC TEILHARD DE CHARDIN                                                                             ,CL 146 92 24,"CL 146 92 24,Bogota,Colombia","CALLE 146 92 24,Bogota,Colombia","(4.7239203, -74.03241539999999)"
1864,JARD INF OLAS DE ALEGRIA                                                                            ,KR 19 A 61 B 46,"KR 19 A 61 B 46,Bogota,Colombia","CARRERA 19 A 61 B 46,Bogota,Colombia","(4.6499219, -74.0692839)"
1865,JARD OBRERO                                                                                         ,KR 5 33 61,"KR 5 33 61,Bogota,Colombia","CARRERA 5 33 61,Bogota,Colombia","(4.6192559, -74.0657141)"
1866,JARD INF MI GRAN AMIGO BILINGÜE                                                                     ,KR 52 132 62,"KR 52 132 62,Bogota,Colombia","CARRERA 52 132 62,Bogota,Colombia","(4.6281883, -74.1081166)"
1867,COL MARIA SANTA SOLEDAD                                                                             ,KR 31 A BIS 4 53,"KR 31 A BIS 4 53,Bogota,Colombia","CARRERA 31 A BIS 4 53,Bogota,Colombia","(4.6052298, -74.101722)"
1868,GIMN INF GUATIQUIA                                                                                  ,CL 59 A SUR 45 D 02,"CL 59 A SUR 45 D 02,Bogota,Colombia","CALLE 59 A SUR 45 D 02,Bogota,Colombia","(4.5758778, -74.1524544)"
1869,COLEGIO USAQUEN (IED),CL 127 C 9 A 03,"CL 127 C 9 A 03,Bogota,Colombia","CALLE 127 C 9 A 03,Bogota,Colombia","(4.7074379, -74.03465469999999)"
1870,COLEGIO TÉCNICO  JAIME PARDO LEAL (IED),KR 10 A 3 63 SUR,"KR 10 A 3 63 SUR,Bogota,Colombia","CARRERA 10 A 3 63 SUR,Bogota,Colombia","(4.5932511, -74.08323399999999)"
1871,COL SANTIAGO FELIPE                                                                                 ,KR 40 A 28 21 SUR,"KR 40 A 28 21 SUR,Bogota,Colombia","CARRERA 40 A 28 21 SUR,Bogota,Colombia","(4.6001673, -74.1203371)"
1872,UNID EDUC JEAN PIAGET                                                                               ,CL 2 B 70 A 57,"CL 2 B 70 A 57,Bogota,Colombia","CALLE 2 B 70 A 57,Bogota,Colombia","(4.6243775, -74.13184749999999)"
1873,LICEO ANTONIO NARIÑO,CL 135 141 B 08,"CL 135 141 B 08,Bogota,Colombia","CALLE 135 141 B 08,Bogota,Colombia","(4.7456084, -74.11601379999999)"
1874,JARDIN INFANTIL KAIKU,CL 95 20 28,"CL 95 20 28,Bogota,Colombia","CALLE 95 20 28,Bogota,Colombia","(4.6830017, -74.0545844)"
1875,JARD INF MANITAS FELICES                                                                            ,KR 112 A 71 L 22,"KR 112 A 71 L 22,Bogota,Colombia","CARRERA 112 A 71 L 22,Bogota,Colombia","(4.7192598, -74.11990589999999)"
1876,LIC PSICOPEDAG EL TEOREMA DE APRENDER                                                               ,KR 14 54 61 SUR,"KR 14 54 61 SUR,Bogota,Colombia","CARRERA 14 54 61 SUR,Bogota,Colombia","(4.5664535, -74.1429138)"
1877,LIC INTEGRAL SAN CARLOS                                                                             ,KR 17 52 83 SUR,"KR 17 52 83 SUR,Bogota,Colombia","CARRERA 17 52 83 SUR,Bogota,Colombia","(4.6407348, -74.0695106)"
1878,INST NSTRA SRA DEL AMPARO                                                                           ,AK 70 49 82,"AK 70 49 82,Bogota,Colombia","AK 70 49 82,Bogota,Colombia","(4.6643934, -74.1051502)"
1879,COL ANTONIO NARIÑO H.H. CORAZONISTAS                                                                ,CL 63 15 70,"CL 63 15 70,Bogota,Colombia","CALLE 63 15 70,Bogota,Colombia","(4.6501442, -74.06652369999999)"
1880,COLEGIO CASTILLA (IED),KR 78 8 A 43,"KR 78 8 A 43,Bogota,Colombia","CARRERA 78 8 A 43,Bogota,Colombia","(4.6399205, -74.1409903)"
1881,COL EL DUQUE DE RIVAS                                                                               ,KR 80 H 50 A 09 SUR,"KR 80 H 50 A 09 SUR,Bogota,Colombia","CARRERA 80 H 50 A 09 SUR,Bogota,Colombia","(4.6193539, -74.17208149999999)"
1882,COLEGIO SANTO DOMINGO BILINGÜE,KR 72 P 38 A 17 SUR,"KR 72 P 38 A 17 SUR,Bogota,Colombia","CARRERA 72 P 38 A 17 SUR,Bogota,Colombia","(4.614859, -74.1468653)"
1883,COL MANDALAY,KR 74 A 4 34,"KR 74 A 4 34,Bogota,Colombia","CARRERA 74 A 4 34,Bogota,Colombia","(4.664537699999999, -74.11985539999999)"
1884,COLEGIO AULAS COLOMBIANAS SAN LUIS (IED]),KR 11 ESTE 1 A 85,"KR 11 ESTE 1 A 85,Bogota,Colombia","CARRERA 11 ESTE 1 A 85,Bogota,Colombia","(4.5807797, -74.0710343)"
1885,JARD INF PLATERO Y YO                                                                               ,KR 68 178 56,"KR 68 178 56,Bogota,Colombia","CARRERA 68 178 56,Bogota,Colombia","(4.6399492, -74.11577820000001)"
1886,COL EL MINUTO DE DIOS                                                                               ,TV 74 81 C 05,"TV 74 81 C 05,Bogota,Colombia","TV 74 81 C 05,Bogota,Colombia","(4.6449294, -74.1363519)"
1887,COL NIÑOS DE COLOMBIA                                                                               ,CR. 72 NO.34- 54 MZ B 1 NUCLEO A,"CR. 72 NO.34- 54 MZ B 1 NUCLEO A,Bogota,Colombia","CR. 72 NO.34- 54 MANZANA B 1 NUCLEO A,Bogota,Colombia","(4.710988599999999, -74.072092)"
1888,COLEGIO JOSE MARIA CARBONELL (IED),KR 4 0 43,"KR 4 0 43,Bogota,Colombia","CARRERA 4 0 43,Bogota,Colombia","(4.5797335, -74.0770489)"
1889,LICEO CRISTOBAL DE OLID,KR 79 BIS A 56 A 07 SUR,"KR 79 BIS A 56 A 07 SUR,Bogota,Colombia","CARRERA 79 BIS A 56 A 07 SUR,Bogota,Colombia","(4.6116639, -74.1739529)"
1890,TALLER PSICOPEDAG MIS PEQUEÑOS ARTISTAS                                                             ,CLL. 24 BIS NO. 24-14,"CLL. 24 BIS NO. 24-14,Bogota,Colombia","CLL. 24 BIS NO. 24-14,Bogota,Colombia","(4.619704599999999, -74.0789259)"
1891,COL CRISTIANO PSICOPEDAG SINAI                                                                      ,CL 68 A 91 50,"CL 68 A 91 50,Bogota,Colombia","CALLE 68 A 91 50,Bogota,Colombia","(4.6942295, -74.1131839)"
1892,COLEGIO CUNDINAMARCA (IED),CL 62 A SUR 73 31,"CL 62 A SUR 73 31,Bogota,Colombia","CALLE 62 A SUR 73 31,Bogota,Colombia","(4.5904441, -74.17074769999999)"
1893,LIC MARIA NELL                                                                                      ,KR 2 A ESTE 81 58 SUR,"KR 2 A ESTE 81 58 SUR,Bogota,Colombia","CARRERA 2 A ESTE 81 58 SUR,Bogota,Colombia","(4.508346599999999, -74.1091599)"
1894,LICEO CRISTIANO LA VID,CL 23 F 75 64,"CL 23 F 75 64,Bogota,Colombia","CALLE 23 F 75 64,Bogota,Colombia","(4.6658692, -74.1211469)"
1895,GIMN JULIO GARAVITO                                                                                 ,DG 62 G SUR 70 F 17 CS 19,"DG 62 G SUR 70 F 17 CS 19,Bogota,Colombia","DIAGONAL 62 G SUR 70 F 17 CS 19,Bogota,Colombia","(4.5893802, -74.1631223)"
1896,COLEGIO HUMANISTA JALIL GIBRAN,CL 56 D SUR 80 H 91,"CL 56 D SUR 80 H 91,Bogota,Colombia","CALLE 56 D SUR 80 H 91,Bogota,Colombia","(4.6262535, -74.1862872)"
1897,GIMNASIO MODERNO ESDRA,CL 176 52 04,"CL 176 52 04,Bogota,Colombia","CALLE 176 52 04,Bogota,Colombia","(4.7580092, -74.05043429999999)"
1898,GIMN INF LAS VILLAS                                                                                 ,CR. 52 NO.128C-96,"CR. 52 NO.128C-96,Bogota,Colombia","CR. 52 NO.128C-96,Bogota,Colombia","(4.7160782, -74.0584626)"
1899,COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA)                                                         ,KR 23 C 31 C 33 SUR,"KR 23 C 31 C 33 SUR,Bogota,Colombia","CARRERA 23 C 31 C 33 SUR,Bogota,Colombia","(4.5815375, -74.1159251)"
1900,COL MAYOR JOSE CELESTINO MUTIS                                                                      ,KR 11 185 B 88,"KR 11 185 B 88,Bogota,Colombia","CARRERA 11 185 B 88,Bogota,Colombia","(4.7629552, -74.0324296)"
1901,CENT EDUC DIST DON BOSCO II,CL 96 A SUR 1 01,"CL 96 A SUR 1 01,Bogota,Colombia","CALLE 96 A SUR 1 01,Bogota,Colombia","(4.5016053, -74.1180081)"
1902,POLITECNICO MAYOR ANDINO                                                                            ,CL 23 100 73,"CL 23 100 73,Bogota,Colombia","CALLE 23 100 73,Bogota,Colombia","(4.6492312, -74.10814719999999)"
1903,COL PEDRO GUAL                                                                                      ,KR 48 168 A 15,"KR 48 168 A 15,Bogota,Colombia","CARRERA 48 168 A 15,Bogota,Colombia","(4.750291799999999, -74.0487204)"
1904,JARD INF TALLERIN                                                                                   ,CLL. 40K SUR NO.75C 78 CELULA C MZ. 3 CASA 15,"CLL. 40K SUR NO.75C 78 CELULA C MZ. 3 CASA 15,Bogota,Colombia","CLL. 40K SUR NO.75C 78 CELULA C MZ. 3 CASA 15,Bogota,Colombia","(4.710988599999999, -74.072092)"
1905,LICEO BETHESDA,CL 2 9 42,"CL 2 9 42,Bogota,Colombia","CALLE 2 9 42,Bogota,Colombia","(4.590811, -74.082966)"
1906,COL INF GENESARET (ANTES JARDIN INFANTIL MUÑEQUITOS DE RESORTE)                                     ,KR 77 BIS 68 64,"KR 77 BIS 68 64,Bogota,Colombia","CARRERA 77 BIS 68 64,Bogota,Colombia","(4.6864238, -74.10275290000001)"
1907,JARD INF HUELLITAS MAGICAS                                                                          ,CLL. 19 NO.21-04,"CLL. 19 NO.21-04,Bogota,Colombia","CLL. 19 NO.21-04,Bogota,Colombia","(4.6138341, -74.0824507)"
1908,COLEGIO BILINGÜE CEDAM,CL 2 B 27 A 02,"CL 2 B 27 A 02,Bogota,Colombia","CALLE 2 B 27 A 02,Bogota,Colombia","(4.601178, -74.0989887)"
1909,LIC EL COLOMBIANITO                                                                                 ,CL 52 A 75 71,"CL 52 A 75 71,Bogota,Colombia","CALLE 52 A 75 71,Bogota,Colombia","(4.6748509, -74.1115785)"
1910,FUND COL CLARA CASAS MORALES                                                                        ,KR 8 G 168 30,"KR 8 G 168 30,Bogota,Colombia","CARRERA 8 G 168 30,Bogota,Colombia","(4.746441300000001, -74.0289487)"
1911,CENT DE CAPACITACION  LTDA (CENCABO)                                                                ,AV CARACAS 35 90,"AV CARACAS 35 90,Bogota,Colombia","AVENIDA CARACAS 35 90,Bogota,Colombia","(4.6243949, -74.0688531)"
1912,GIMN SUPER BABY                                                                                     ,CL 22 A 44 C 30,"CL 22 A 44 C 30,Bogota,Colombia","CALLE 22 A 44 C 30,Bogota,Colombia","(4.6337234, -74.0968195)"
1913,JARD INF EMBRIOLOGIA DEL SABER,CL 135 49 34,"CL 135 49 34,Bogota,Colombia","CALLE 135 49 34,Bogota,Colombia","(4.7222173, -74.0551337)"
1914,COL JAIME QUIJANO CABALLERO                                                                         ,TV 78 B 40 C 41 SUR,"TV 78 B 40 C 41 SUR,Bogota,Colombia","TV 78 B 40 C 41 SUR,Bogota,Colombia","(4.6189765, -74.1561888)"
1915,JARD INF PICARDIAS                                                                                  ,KR 36 A 53 A 55,"KR 36 A 53 A 55,Bogota,Colombia","CARRERA 36 A 53 A 55,Bogota,Colombia","(4.6444532, -74.0814942)"
1916,COLEGIO JOSE MANUEL RESTREPO (IED),CL 2 BIS 56 A 67,"CL 2 BIS 56 A 67,Bogota,Colombia","CALLE 2 BIS 56 A 67,Bogota,Colombia","(4.6176009, -74.1225023)"
1917,JARD INF UNIANDES                                                                                   ,CL 18 1 65,"CL 18 1 65,Bogota,Colombia","CALLE 18 1 65,Bogota,Colombia","(4.6013162, -74.0670756)"
1918,COL ALAFAS DEL NORTE                                                                                ,CL 130 F 103 A 37,"CL 130 F 103 A 37,Bogota,Colombia","CALLE 130 F 103 A 37,Bogota,Colombia","(4.733493, -74.099542)"
1919,CENT CIAL MADRE ELISA RONCALLO                                                                      ,KR 3 C ESTE 41 23 SUR,"KR 3 C ESTE 41 23 SUR,Bogota,Colombia","CARRERA 3 C ESTE 41 23 SUR,Bogota,Colombia","(4.5500384, -74.09385100000002)"
1920,JARD INF MIS ADORABLES SOBRINOS                                                                     ,CL 63 SUR 23 04,"CL 63 SUR 23 04,Bogota,Colombia","CALLE 63 SUR 23 04,Bogota,Colombia","(4.5682217, -74.1472996)"
1921,GUARD Y JARD INF RAFIKI                                                                             ,TR. 72A NO.10B-60,"TR. 72A NO.10B-60,Bogota,Colombia","TR. 72A NO.10B-60,Bogota,Colombia","(4.641783, -74.13485779999999)"
1922,INSTITUTO CAMARGO LEON,KR 40 29 A 70 SUR,"KR 40 29 A 70 SUR,Bogota,Colombia","CARRERA 40 29 A 70 SUR,Bogota,Colombia","(4.6144997, -74.10759829999999)"
1923,COLEGIO MI BELLA ANGELITA,KR 3 A 11 80 SUR,"KR 3 A 11 80 SUR,Bogota,Colombia","CARRERA 3 A 11 80 SUR,Bogota,Colombia","(4.596593599999999, -74.0712996)"
1924,JARD INF SAN JERONIMO DE YUSTE,DG 11 SUR 15 A 00 ESTE,"DG 11 SUR 15 A 00 ESTE,Bogota,Colombia","DIAGONAL 11 SUR 15 A 00 ESTE,Bogota,Colombia","(4.586271099999999, -74.0962967)"
1925,COLEGIO JOHN F. KENNEDY (IED),KR 74 B 38 A 33 SUR,"KR 74 B 38 A 33 SUR,Bogota,Colombia","CARRERA 74 B 38 A 33 SUR,Bogota,Colombia","(4.6983331, -74.0913363)"
1926,COL DE LA SALLE                                                                                     ,CL 170 12 10,"CL 170 12 10,Bogota,Colombia","CALLE 170 12 10,Bogota,Colombia","(4.748637899999999, -74.0329385)"
1927,COL COLOMBO ITALIANO MICHELANGELO                                                                   ,AV PRIMERO DE MAYO 69 C 80,"AV PRIMERO DE MAYO 69 C 80,Bogota,Colombia","AVENIDA PRIMERO DE MAYO 69 C 80,Bogota,Colombia","(4.6151091, -74.135999)"
1928,COLEGIO NACIONAL NICOLAS ESGUERRA (IED),AV 68 10 05,"AV 68 10 05,Bogota,Colombia","AVENIDA 68 10 05,Bogota,Colombia","(4.6324833, -74.1211143)"
1929,COLEGIO HUNZA (IED),KR 84 A 129 A 40,"KR 84 A 129 A 40,Bogota,Colombia","CARRERA 84 A 129 A 40,Bogota,Colombia","(4.723263, -74.0833703)"
1930,GIMN CULT EL ARTE DEL FUTURO                                                                        ,KR 82 A 34 A 11,"KR 82 A 34 A 11,Bogota,Colombia","CARRERA 82 A 34 A 11,Bogota,Colombia","(4.6382066, -74.1547951)"
1931,COLEGIO CLEMENCIA HOLGUIN DE URDANETA (IED),CL 30 SUR 18 25,"CL 30 SUR 18 25,Bogota,Colombia","CALLE 30 SUR 18 25,Bogota,Colombia","(4.5792243, -74.1104019)"
1932,GIMN NUEVA AMERICA                                                                                  ,DG 41 SUR 72 A 04,"DG 41 SUR 72 A 04,Bogota,Colombia","DIAGONAL 41 SUR 72 A 04,Bogota,Colombia","(4.594443600000001, -74.1279899)"
1933,CENT EDUC ASOSIERVAS                                                                                ,CL 135 91 A 30,"CL 135 91 A 30,Bogota,Colombia","CALLE 135 91 A 30,Bogota,Colombia","(4.7139825, -74.0297715)"
1934,COLEGIO EMMANUEL,CL 66 71 B 06,"CL 66 71 B 06,Bogota,Colombia","CALLE 66 71 B 06,Bogota,Colombia","(4.6487663, -74.0566474)"
1935,INSTITUTO DE EDUCACIÓN FORMAL DE ADULTOS EL PENSAMIENTO DE PITÁGORAS,CL 10 SUR 5 33,"CL 10 SUR 5 33,Bogota,Colombia","CALLE 10 SUR 5 33,Bogota,Colombia","(4.578376899999999, -74.0851095)"
1936,COLEGIO RAFAEL NUÑEZ  (IED),KR 9 A 18 74 SUR,"KR 9 A 18 74 SUR,Bogota,Colombia","CARRERA 9 A 18 74 SUR,Bogota,Colombia","(4.6490555, -74.0614531)"
1937,COLEGIO COLSUBSIDIO NUEVA ROMA I.E.D.,CL 48 SUR 4 A 39 ESTE,"CL 48 SUR 4 A 39 ESTE,Bogota,Colombia","CALLE 48 SUR 4 A 39 ESTE,Bogota,Colombia","(4.5417116, -74.09601889999999)"
1938,JARD INF LOS ANGELES                                                                                ,KR 28 45 A 59,"KR 28 45 A 59,Bogota,Colombia","CARRERA 28 45 A 59,Bogota,Colombia","(4.635536699999999, -74.0781784)"
1939,GIMN MIX MANUEL DEL SOCORRO RODRIGUEZ                                                               ,CLL. 157BIS NO. 94-05,"CLL. 157BIS NO. 94-05,Bogota,Colombia","CLL. 157BIS NO. 94-05,Bogota,Colombia","(4.7554674, -74.0831977)"
1940,COLEGIO ISABEL II (IED),DG 23 B SUR 84 A 01,"DG 23 B SUR 84 A 01,Bogota,Colombia","DIAGONAL 23 B SUR 84 A 01,Bogota,Colombia","(4.6702076, -74.1290592)"
1941,JARD INF CHIQUITOTO                                                                                 ,CLL. 84 NO.112F-05,"CLL. 84 NO.112F-05,Bogota,Colombia","CLL. 84 NO.112F-05,Bogota,Colombia","(4.629200099999999, -74.2120942)"
1942,COL DE LA UNIVERSIDAD ANTONIO NARIÑO                                                                ,IND KM 15 # 16 - 71 SUR VIA USME,"IND KM 15 # 16 - 71 SUR VIA USME,Bogota,Colombia","IND KM 15 # 16 - 71 SUR VIA USME,Bogota,Colombia","(4.521013, -74.1148435)"
1943,LIC PEDAG LOS CONQUISTADORES                                                                        ,KR 35 17 B 04,"KR 35 17 B 04,Bogota,Colombia","CARRERA 35 17 B 04,Bogota,Colombia","(4.6210404, -74.093285)"
1944,CENT EDUC INDIRA GANDHI                                                                             ,KR 87 C 35 B 31 SUR,"KR 87 C 35 B 31 SUR,Bogota,Colombia","CARRERA 87 C 35 B 31 SUR,Bogota,Colombia","(4.5867778, -74.1200958)"
1945,LIC INF MI REFUGIO CAMPESTRE                                                                        ,CL 155 D 98 33,"CL 155 D 98 33,Bogota,Colombia","CALLE 155 D 98 33,Bogota,Colombia","(4.7546981, -74.08577079999999)"
1946,LIC CIAL NUEVO ALEJANDRINO                                                                          ,KR 4 B 56 30 SUR,"KR 4 B 56 30 SUR,Bogota,Colombia","CARRERA 4 B 56 30 SUR,Bogota,Colombia","(4.539560499999999, -74.116919)"
1947,COL SICOPEDAG DE FONTIBON                                                                           ,CLL. 23 NO.107-52,"CLL. 23 NO.107-52,Bogota,Colombia","CLL. 23 NO.107-52,Bogota,Colombia","(4.68394, -74.14282299999999)"
1948,COL GIMN SOSIEGO                                                                                    ,CL 17 SUR 8 A 21,"CL 17 SUR 8 A 21,Bogota,Colombia","CALLE 17 SUR 8 A 21,Bogota,Colombia","(4.5773174, -74.0914366)"
1949,PREESC MOMENTOS FELICES                                                                             ,KR 113 82 08,"KR 113 82 08,Bogota,Colombia","CARRERA 113 82 08,Bogota,Colombia","(4.7225404, -74.1167996)"
1950,COL AMANECER                                                                                        ,CLL. 43 BIS NO.73A-12/14,"CLL. 43 BIS NO.73A-12/14,Bogota,Colombia","CLL. 43 BIS NO.73A-12/14,Bogota,Colombia","(4.613659, -74.1620729)"
1951,COLEGIO HELADIA MEJIA  (IED),CL 65 15 A 04,"CL 65 15 A 04,Bogota,Colombia","CALLE 65 15 A 04,Bogota,Colombia","(4.6530385, -74.0656686)"
1952,COL SALESIANO JUAN DEL RIZZO                                                                        ,KR 6 27 19 SUR,"KR 6 27 19 SUR,Bogota,Colombia","CARRERA 6 27 19 SUR,Bogota,Colombia","(4.613767699999999, -74.06835939999999)"
1953,INST TEC CIAL JULIO CORTAZAR                                                                        ,KR 1 D ESTE 78 16 SUR,"KR 1 D ESTE 78 16 SUR,Bogota,Colombia","CARRERA 1 D ESTE 78 16 SUR,Bogota,Colombia","(4.510441399999999, -74.1124621)"
1954,COLEGIO DEL ROSARIO CAMPESTRE,KR 7 CL 212,"KR 7 CL 212,Bogota,Colombia","CARRERA 7 CALLE 212,Bogota,Colombia","(4.7889726, -74.0283816)"
1955,GIMNASIO YACARD,KR 65 170 85,"KR 65 170 85,Bogota,Colombia","CARRERA 65 170 85,Bogota,Colombia","(4.758195199999999, -74.05944339999999)"
1956,LIC JUAN RAMON JIMENEZ                                                                              ,IND CAR SUBA A COTA KM.4,"IND CAR SUBA A COTA KM.4,Bogota,Colombia","IND CAR SUBA A COTA KM.4,Bogota,Colombia","(4.710988599999999, -74.072092)"
